year,tranche_name,interest_due,principal_due
1,senior,2592000,0
1,mezzanine,1530000,0
1,subordinated,1188000,0
2,senior,2592000,0
2,mezzanine,1530000,0
2,subordinated,1188000,0
3,senior,2592000,0
3,mezzanine,1530000,0
3,subordinated,1188000,0
4,senior,2592000,0
4,mezzanine,1530000,0
4,subordinated,1188000,0
5,senior,2592000,2269207
5,mezzanine,1530000,745597
5,subordinated,1188000,226921
6,senior,2455848,5129798
6,mezzanine,1466624,1685505
6,subordinated,1163039,512980
7,senior,2148060,7464347
7,mezzanine,1323356,2452571
7,subordinated,1106611,746435
8,senior,1700199,8946770
8,mezzanine,1114888,2939653
8,subordinated,1024503,894677
9,senior,1163393,10145644
9,mezzanine,865017,3333569
9,subordinated,926089,1014564
10,senior,554654,9244234
10,mezzanine,581664,3564965
10,subordinated,814487,964133
11,senior,0,0
11,mezzanine,278642,3278140
11,subordinated,708432,6440290
12,senior,0,0
12,mezzanine,0,0
12,subordinated,0,0
13,senior,0,0
13,mezzanine,0,0
13,subordinated,0,0
14,senior,0,0
14,mezzanine,0,0
14,subordinated,0,0
15,senior,0,0
15,mezzanine,0,0
15,subordinated,0,0
